                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.70016,                0.83455,                0.43319,                0.96009,                0.94444,                0.86334,                0.94719,                0.73877,                0.94444,                0.86334,                0.94452,                0.60893,                0.82091,                 1.0499,                0.45907,                  1.058,              0.0013205,              0.0013205,              0.0013205
                     26,                0.70669,                0.86513,                0.42845,                0.95993,                 0.9012,                0.91253,                 0.9531,                0.72954,                 0.9012,                0.91253,                0.95057,                0.60754,                0.85305,                 1.0122,                0.45686,                 1.0786,              0.0013158,              0.0013158,              0.0013158
                     27,                 0.6696,                0.85572,                0.41268,                 0.9451,                0.93481,                0.90057,                0.95222,                0.74055,                0.93481,                0.90057,                0.95033,                0.62425,                0.84214,                0.98104,                0.45874,                 1.0691,              0.0013111,              0.0013111,              0.0013111
                     28,                0.66915,                0.83196,                0.41472,                0.94628,                0.94148,                0.87439,                 0.9298,                0.71298,                0.94148,                0.87439,                0.92905,                0.61531,                0.85059,                 1.0649,                0.47048,                  1.081,              0.0013064,              0.0013064,              0.0013064
                     29,                0.66662,                0.82916,                0.40492,                0.93829,                0.95715,                0.89783,                0.94477,                0.73809,                0.95715,                0.89783,                0.94477,                0.63424,                0.83634,                  1.048,                0.46808,                 1.0661,              0.0013017,              0.0013017,              0.0013017
                     30,                0.64139,                0.82513,                0.39307,                0.93367,                 0.9393,                0.89783,                0.93723,                0.73239,                0.94169,                0.90031,                0.93898,                0.61596,                0.83059,                 1.0285,                0.47781,                 1.0598,               0.001297,               0.001297,               0.001297
                     31,                0.64022,                0.81448,                0.40627,                0.93416,                0.94009,                0.88221,                0.92978,                0.72132,                0.94009,                0.88221,                0.92978,                0.60512,                0.84372,                 1.0934,                0.49136,                 1.0757,              0.0012922,              0.0012922,              0.0012922
                     32,                0.64218,                0.82075,                0.40811,                0.93777,                0.91373,                0.87323,                0.92447,                0.71684,                0.91373,                0.87323,                0.92292,                0.61295,                0.85839,                 1.1071,                0.50408,                 1.0785,              0.0012875,              0.0012875,              0.0012875
                     33,                0.62571,                0.79953,                0.37845,                0.92933,                0.92865,                0.89155,                0.92013,                0.72125,                0.92865,                0.89155,                0.91851,                0.61613,                0.82941,                 1.0307,                0.47045,                 1.0625,              0.0012828,              0.0012828,              0.0012828
                     34,                0.62385,                0.79535,                0.38826,                0.92941,                0.92253,                0.91463,                0.93568,                0.72567,                0.92253,                0.91463,                0.93587,                0.60782,                0.83666,                 1.0238,                0.46594,                 1.0812,              0.0012781,              0.0012781,              0.0012781
                     35,                0.63008,                 0.7881,                0.40019,                0.92903,                0.93044,                0.86134,                0.92443,                0.73176,                0.93044,                0.86134,                0.92525,                0.61042,                0.84376,                 1.0216,                0.52214,                 1.0853,              0.0012734,              0.0012734,              0.0012734
                     36,                0.63507,                0.77301,                0.38203,                0.93425,                0.89858,                0.91642,                0.94121,                0.72251,                0.89858,                0.91642,                0.93877,                0.60202,                0.84217,                 1.0384,                0.45867,                 1.0889,              0.0012687,              0.0012687,              0.0012687
                     37,                0.61952,                0.80469,                0.39496,                0.92531,                0.88913,                0.91075,                0.95391,                 0.7303,                0.88913,                0.91075,                0.95391,                0.60612,                0.83662,                0.98369,                0.47418,                 1.0812,               0.001264,               0.001264,               0.001264
                     38,                0.61098,                0.77583,                0.37686,                0.92304,                0.91429,                0.89863,                0.93122,                0.73055,                0.91429,                0.89863,                0.93555,                0.60906,                0.83024,                0.99972,                0.47362,                 1.0932,              0.0012592,              0.0012592,              0.0012592
                     39,                0.59643,                0.75414,                0.37255,                0.91645,                0.94634,                0.87986,                0.93112,                0.72022,                0.94634,                0.87986,                0.92696,                0.59265,                0.83562,                 1.0609,                0.52357,                 1.0969,              0.0012545,              0.0012545,              0.0012545
                     40,                0.61855,                0.76456,                0.38993,                0.93317,                0.91546,                 0.8966,                0.93479,                0.74156,                0.91813,                0.89909,                0.93643,                0.61706,                0.82352,                 1.0298,                0.47788,                 1.0728,              0.0012498,              0.0012498,              0.0012498
                     41,                0.60672,                0.76785,                0.37318,                0.91574,                0.92529,                0.89115,                0.93801,                0.73172,                0.92529,                0.89115,                0.93844,                0.61637,                0.83923,                 1.0196,                0.47675,                 1.0885,              0.0012451,              0.0012451,              0.0012451
                     42,                0.60785,                0.74626,                0.36721,                0.92211,                0.87822,                0.92249,                0.91048,                 0.7094,                0.87822,                0.92249,                0.90984,                0.60326,                0.84447,                 1.0541,                0.48904,                 1.0781,              0.0012404,              0.0012404,              0.0012404
                     43,                0.60083,                0.79042,                0.36683,                0.91739,                0.93498,                0.89878,                0.94238,                0.73317,                0.93498,                0.89878,                 0.9449,                0.61873,                0.85529,                  1.041,                0.49176,                 1.1065,              0.0012357,              0.0012357,              0.0012357
                     44,                0.59481,                0.73684,                0.36931,                0.91975,                0.94194,                0.86243,                0.95606,                0.74082,                0.93926,                0.85995,                0.95268,                0.61033,                 0.8423,                 1.0826,                0.46285,                 1.0912,              0.0012309,              0.0012309,              0.0012309
                     45,                0.59414,                0.74246,                0.36864,                0.91548,                0.91668,                0.88667,                 0.9452,                0.73859,                0.91934,                0.88916,                 0.9448,                0.60647,                0.83442,                 1.0447,                0.45423,                 1.0829,              0.0012262,              0.0012262,              0.0012262
                     46,                0.60621,                0.75999,                0.36404,                0.92226,                  0.932,                0.89344,                0.94653,                0.74592,                0.92927,                0.89095,                 0.9434,                0.61674,                0.84124,                 1.0305,                0.49161,                 1.0731,              0.0012215,              0.0012215,              0.0012215
                     47,                0.56366,                0.74197,                0.34784,                0.90133,                0.91694,                 0.9118,                0.94493,                0.75336,                0.91968,                0.91429,                0.94672,                0.63104,                0.82455,                 1.0283,                0.48582,                 1.0726,              0.0012168,              0.0012168,              0.0012168
                     48,                0.57031,                 0.7173,                0.35238,                0.90128,                0.94117,                0.88962,                0.95717,                0.75536,                0.94117,                0.88962,                0.95608,                0.64131,                0.83593,                  1.065,                0.45487,                 1.0901,              0.0012121,              0.0012121,              0.0012121
                     49,                0.56867,                0.72097,                0.34938,                0.90687,                0.90558,                0.87637,                0.91572,                0.71231,                0.90558,                0.87637,                0.91398,                0.58757,                0.82983,                 1.0237,                0.51323,                 1.0891,              0.0012074,              0.0012074,              0.0012074
                     50,                0.58186,                0.71796,                0.36385,                0.91165,                0.91255,                 0.8993,                0.93545,                0.73574,                0.91255,                 0.8993,                0.93316,                0.61781,                0.83991,                 1.0353,                0.47061,                 1.0871,              0.0012026,              0.0012026,              0.0012026
                     51,                0.56591,                0.70613,                0.34895,                0.90113,                0.91991,                0.88875,                0.92402,                0.73585,                0.91991,                0.88875,                0.92175,                0.62452,                0.81393,                 1.0095,                 0.5068,                 1.0966,              0.0011979,              0.0011979,              0.0011979
                     52,                0.57719,                0.73188,                 0.3525,                0.90312,                0.93408,                0.87476,                0.93228,                0.72477,                0.93696,                0.87716,                0.93401,                0.63349,                0.83661,                 1.0575,                0.51344,                 1.1136,              0.0011932,              0.0011932,              0.0011932
                     53,                0.55962,                0.67849,                0.34019,                0.91051,                0.96124,                0.88499,                0.95219,                0.73799,                0.96124,                0.88499,                0.95113,                0.64386,                0.83029,                 1.0591,                0.44669,                 1.0882,              0.0011885,              0.0011885,              0.0011885
                     54,                0.55193,                0.70751,                0.33405,                0.90139,                0.92409,                0.89799,                0.94798,                0.73519,                0.92409,                0.89799,                0.94798,                0.63788,                0.84855,                 1.0367,                0.46814,                 1.0979,              0.0011838,              0.0011838,              0.0011838
                     55,                 0.5593,                0.73275,                0.34501,                 0.9021,                0.92512,                0.89151,                0.92309,                0.72395,                0.92512,                0.89151,                0.92309,                0.60723,                0.83529,                 1.0535,                0.50944,                 1.0932,              0.0011791,              0.0011791,              0.0011791
                     56,                0.54013,                0.67877,                0.33838,                0.89054,                0.95317,                0.86375,                0.92549,                0.72142,                0.95317,                0.86375,                0.92686,                0.60563,                0.82654,                 1.1197,                0.49503,                 1.0805,              0.0011744,              0.0011744,              0.0011744
                     57,                0.53697,                0.69596,                0.33444,                0.89604,                0.96985,                0.87619,                0.94432,                0.75615,                0.96985,                0.87619,                0.94432,                0.63593,                0.81291,                 1.0955,                0.47117,                 1.0927,              0.0011696,              0.0011696,              0.0011696
                     58,                0.53406,                0.65768,                0.32821,                0.89589,                 0.9025,                0.92115,                0.94523,                0.74517,                0.90014,                0.91866,                0.94126,                0.61439,                0.81169,                 1.0602,                0.45485,                 1.0804,              0.0011649,              0.0011649,              0.0011649
                     59,                0.53235,                  0.682,                0.32359,                0.88917,                0.92957,                0.91004,                0.94464,                0.74585,                0.93213,                0.91253,                 0.9459,                0.61528,                0.80881,                 1.0668,                 0.4664,                 1.0827,              0.0011602,              0.0011602,              0.0011602
                     60,                0.54373,                 0.6865,                0.32586,                0.88965,                0.95109,                0.89347,                0.94389,                0.73825,                0.95109,                0.89347,                0.94189,                0.62194,                0.81544,                 1.0349,                0.45436,                 1.0857,              0.0011555,              0.0011555,              0.0011555
                     61,                0.52852,                0.70411,                0.33002,                0.89091,                 0.9502,                0.90026,                0.94096,                 0.7378,                0.95291,                0.90275,                0.94289,                0.62584,                0.82106,                 1.0455,                0.48184,                 1.1005,              0.0011508,              0.0011508,              0.0011508
